name,phone_code,state_id
ACRELANDIA,68,1
ASSIS BRASIL,68,1
BRASILEIA,68,1
BUJARI,68,1
CAPIXABA,68,1
CRUZEIRO DO SUL,68,1
EPITACIOLANDIA,68,1
FEIJO,68,1
JORDAO,68,1
MANCIO LIMA,68,1
MANOEL URBANO,68,1
MARECHAL THAUMATURGO,68,1
PLACIDO DE CASTRO,68,1
PORTO ACRE,68,1
PORTO WALTER,68,1
RIO BRANCO,68,1
RODRIGUES ALVES,68,1
SANTA ROSA DO PURUS,68,1
SENA MADUREIRA,68,1
SENADOR GUIOMARD,68,1
TARAUACA,68,1
XAPURI,68,1
AGUA BRANCA,82,2
ANADIA,82,2
ARAPIRACA,82,2
ATALAIA,82,2
BARRA DE SANTO ANTONIO,82,2
BARRA DE SAO MIGUEL,82,2
BATALHA,82,2
BELEM,82,2
BELO MONTE,82,2
BOCA DA MATA,82,2
BRANQUINHA,82,2
CACIMBINHAS,82,2
CAJUEIRO,82,2
CAMPESTRE,82,2
CAMPO ALEGRE,82,2
CAMPO GRANDE,82,2
CANAPI,82,2
CAPELA,82,2
CARNEIROS,82,2
CHA PRETA,82,2
COITE DO NOIA,82,2
COLONIA LEOPOLDINA,82,2
COQUEIRO SECO,82,2
CORURIPE,82,2
CRAIBAS,82,2
DELMIRO GOUVEIA,82,2
DOIS RIACHOS,82,2
ESTRELA DE ALAGOAS,82,2
FEIRA GRANDE,82,2
FELIZ DESERTO,82,2
FLEXEIRAS,82,2
GIRAU DO PONCIANO,82,2
IBATEGUARA,82,2
IGACI,82,2
IGREJA NOVA,82,2
INHAPI,82,2
JACARE DOS HOMENS,82,2
JACUIPE,82,2
JAPARATINGA,82,2
JARAMATAIA,82,2
JEQUIA DA PRAIA,82,2
JOAQUIM GOMES,82,2
JUNDIA,82,2
JUNQUEIRO,82,2
LAGOA DA CANOA,82,2
LIMOEIRO DE ANADIA,82,2
MACEIO,82,2
MAJOR ISIDORO,82,2
MAR VERMELHO,82,2
MARAGOGI,82,2
MARAVILHA,82,2
MARECHAL DEODORO,82,2
MARIBONDO,82,2
MATA GRANDE,82,2
MATRIZ DE CAMARAGIBE,82,2
MESSIAS,82,2
MINADOR DO NEGRAO,82,2
MONTEIROPOLIS,82,2
MURICI,82,2
NOVO LINO,82,2
OLHO D'AGUA DAS FLORES,82,2
OLHO D'AGUA DO CASADO,82,2
OLHO D'AGUA GRANDE,82,2
OLIVENCA,82,2
OURO BRANCO,82,2
PALESTINA,82,2
PALMEIRA DOS INDIOS,82,2
PAO DE ACUCAR,82,2
PARICONHA,82,2
PARIPUEIRA,82,2
PASSO DE CAMARAGIBE,82,2
PAULO JACINTO,82,2
PENEDO,82,2
PIACABUCU,82,2
PILAR,82,2
PINDOBA,82,2
PIRANHAS,82,2
POCO DAS TRINCHEIRAS,82,2
PORTO CALVO,82,2
PORTO DE PEDRAS,82,2
PORTO REAL DO COLEGIO,82,2
QUEBRANGULO,82,2
RIO LARGO,82,2
ROTEIRO,82,2
SANTA LUZIA DO NORTE,82,2
SANTANA DO IPANEMA,82,2
SANTANA DO MUNDAU,82,2
SAO BRAS,82,2
SAO JOSE DA LAJE,82,2
SAO JOSE DA TAPERA,82,2
SAO LUIS DO QUITUNDE,82,2
SAO MIGUEL DOS CAMPOS,82,2
SAO MIGUEL DOS MILAGRES,82,2
SAO SEBASTIAO,82,2
SATUBA,82,2
SENADOR RUI PALMEIRA,82,2
TANQUE D'ARCA,82,2
TAQUARANA,82,2
TEOTONIO VILELA,82,2
TRAIPU,82,2
UNIAO DOS PALMARES,82,2
VICOSA,82,2
ALVARAES,97,4
AMATURA,97,4
ANAMA,97,4
ANORI,97,4
APUI,97,4
ATALAIA DO NORTE,97,4
AUTAZES,92,4
BARCELOS,97,4
BARREIRINHA,92,4
BENJAMIN CONSTANT,97,4
BERURI,97,4
BOA VISTA DO RAMOS,92,4
BOCA DO ACRE,97,4
BORBA,92,4
CAAPIRANGA,92,4
CANUTAMA,97,4
CARAUARI,97,4
CAREIRO,92,4
CAREIRO DA VARZEA,92,4
COARI,97,4
CODAJAS,97,4
EIRUNEPE,97,4
ENVIRA,97,4
FONTE BOA,97,4
GUAJARA,97,4
HUMAITA,97,4
IPIXUNA,97,4
IRANDUBA,92,4
ITACOATIARA,92,4
ITAMARATI,97,4
ITAPIRANGA,92,4
JAPURA,97,4
JURUA,97,4
JUTAI,97,4
LABREA,97,4
MANACAPURU,92,4
MANAQUIRI,92,4
MANAUS,92,4
MANICORE,97,4
MARAA,97,4
MAUES,92,4
NHAMUNDA,92,4
NOVA OLINDA DO NORTE,92,4
NOVO AIRAO,92,4
NOVO ARIPUANA,97,4
PARINTINS,92,4
PAUINI,97,4
PRESIDENTE FIGUEIREDO,92,4
RIO PRETO DA EVA,92,4
SANTA ISABEL DO RIO NEGRO,97,4
SANTO ANTONIO DO ICA,97,4
SAO GABRIEL DA CACHOEIRA,97,4
SAO PAULO DE OLIVENCA,97,4
SAO SEBASTIAO DO UATUMA,92,4
SILVES,92,4
TABATINGA,97,4
TAPAUA,97,4
TEFE,97,4
TONANTINS,97,4
UARINI,97,4
URUCARA,92,4
URUCURITUBA,92,4
AMAPA,96,3
CALCOENE,96,3
CUTIAS,96,3
FERREIRA GOMES,96,3
ITAUBAL,96,3
LARANJAL DO JARI,96,3
MACAPA,96,3
MAZAGAO,96,3
OIAPOQUE,96,3
PEDRA BRANCA DO AMAPARI,96,3
PORTO GRANDE,96,3
PRACUUBA,96,3
SANTANA,96,3
SERRA DO NAVIO,96,3
TARTARUGALZINHO,96,3
VITORIA DO JARI,96,3
ABAIRA,77,5
ABARE,75,5
ACAJUTIBA,75,5
ADUSTINA,75,5
AGUA FRIA,75,5
AIQUARA,73,5
ALAGOINHAS,75,5
ALCOBACA,73,5
ALMADINA,73,5
AMARGOSA,75,5
AMELIA RODRIGUES,75,5
AMERICA DOURADA,74,5
ANAGE,77,5
ANDARAI,75,5
ANDORINHA,74,5
ANGICAL,77,5
ANGUERA,75,5
ANTAS,75,5
ANTONIO CARDOSO,75,5
ANTONIO GONCALVES,74,5
APORA,75,5
APUAREMA,73,5
ARACAS,75,5
ARACATU,77,5
ARACI,75,5
ARAMARI,75,5
ARATACA,73,5
ARATUIPE,75,5
AURELINO LEAL,73,5
BAIANOPOLIS,77,5
BAIXA GRANDE,74,5
BANZAE,75,5
BARRA,74,5
BARRA DA ESTIVA,77,5
BARRA DO CHOCA,77,5
BARRA DO MENDES,74,5
BARRA DO ROCHA,73,5
BARREIRAS,77,5
BARRO ALTO,74,5
BARROCAS,75,5
BELMONTE,73,5
BELO CAMPO,77,5
BIRITINGA,75,5
BOA NOVA,77,5
BOA VISTA DO TUPIM,75,5
BOM JESUS DA LAPA,77,5
BOM JESUS DA SERRA,77,5
BONINAL,75,5
BONITO,75,5
BOQUIRA,77,5
BOTUPORA,77,5
BREJOES,75,5
BREJOLANDIA,77,5
BROTAS DE MACAUBAS,77,5
BRUMADO,77,5
BUERAREMA,73,5
BURITIRAMA,77,5
CAATIBA,77,5
CABACEIRAS DO PARAGUACU,75,5
CACHOEIRA,75,5
CACULE,77,5
CAEM,74,5
CAETANOS,77,5
CAETITE,77,5
CAFARNAUM,74,5
CAIRU,75,5
CALDEIRAO GRANDE,74,5
CAMACAN,73,5
CAMACARI,71,5
CAMAMU,73,5
CAMPO ALEGRE DE LOURDES,74,5
CAMPO FORMOSO,74,5
CANAPOLIS,77,5
CANARANA,74,5
CANAVIEIRAS,73,5
CANDEAL,75,5
CANDEIAS,71,5
CANDIBA,77,5
CANDIDO SALES,77,5
CANSANCAO,75,5
CANUDOS,75,5
CAPELA DO ALTO ALEGRE,75,5
CAPIM GROSSO,74,5
CARAIBAS,77,5
CARAVELAS,73,5
CARDEAL DA SILVA,75,5
CARINHANHA,77,5
CASA NOVA,74,5
CASTRO ALVES,75,5
CATOLANDIA,77,5
CATU,71,5
CATURAMA,77,5
CENTRAL,74,5
CHORROCHO,75,5
CICERO DANTAS,75,5
CIPO,75,5
COARACI,73,5
COCOS,77,5
CONCEICAO DA FEIRA,75,5
CONCEICAO DO ALMEIDA,75,5
CONCEICAO DO COITE,75,5
CONCEICAO DO JACUIPE,75,5
CONDE,75,5
CONDEUBA,77,5
CONTENDAS DO SINCORA,77,5
CORACAO DE MARIA,75,5
CORDEIROS,77,5
CORIBE,77,5
CORONEL JOAO SA,75,5
CORRENTINA,77,5
COTEGIPE,77,5
CRAVOLANDIA,73,5
CRISOPOLIS,75,5
CRISTOPOLIS,77,5
CRUZ DAS ALMAS,75,5
CURACA,74,5
DARIO MEIRA,73,5
DIAS D'AVILA,71,5
DOM BASILIO,77,5
DOM MACEDO COSTA,75,5
ELISIO MEDRADO,75,5
ENCRUZILHADA,77,5
ENTRE RIOS,75,5
ERICO CARDOSO,77,5
ESPLANADA,75,5
EUCLIDES DA CUNHA,75,5
EUNAPOLIS,73,5
FATIMA,75,5
FEIRA DA MATA,77,5
FEIRA DE SANTANA,75,5
FILADELFIA,74,5
FIRMINO ALVES,73,5
FLORESTA AZUL,73,5
FORMOSA DO RIO PRETO,77,5
GANDU,73,5
GAVIAO,75,5
GENTIO DO OURO,74,5
GLORIA,75,5
GONGOGI,73,5
GOVERNADOR LOMANTO JUNIOR,73,5
GOVERNADOR MANGABEIRA,75,5
GUAJERU,77,5
GUANAMBI,77,5
GUARATINGA,73,5
HELIOPOLIS,75,5
IACU,75,5
IBIASSUCE,77,5
IBICARAI,73,5
IBICOARA,77,5
IBICUI,73,5
IBIPEBA,74,5
IBIPITANGA,77,5
IBIQUERA,75,5
IBIRAPITANGA,73,5
IBIRAPUA,73,5
IBIRATAIA,73,5
IBITIARA,77,5
IBITITA,74,5
IBOTIRAMA,77,5
ICHU,75,5
IGAPORA,77,5
IGRAPIUNA,73,5
IGUAI,73,5
ILHEUS,73,5
INHAMBUPE,75,5
IPECAETA,75,5
IPIAU,73,5
IPIRA,75,5
IPUPIARA,77,5
IRAJUBA,73,5
IRAMAIA,77,5
IRAQUARA,75,5
IRARA,75,5
IRECE,74,5
ITABELA,73,5
ITABERABA,75,5
