id,name,name_code,country_id
1,Acre,AC,1
2,Alagoas,AL,1
3,Amapa,AP,1
4,Amazonas,AM,1
5,Bahia,BA,1
6,Ceara,CE,1
7,Distrito Federal,DF,1
8,Espirito Santo,ES,1
9,Goias,GO,1
10,Maranhao,MA,1
11,Mato Grosso,MT,1
12,Mato Grosso do Sul,MS,1
13,Minas Gerais,MG,1
14,Para,PA,1
15,Paraiba,PB,1
16,Parana,PR,1
17,Pernambuco,PE,1
18,Piaui,PI,1
19,Rio de Janeiro,RJ,1
20,Rio Grande do Norte,RN,1
21,Rio Grande do Sul,RS,1
22,Rondonia,RO,1
23,Roraima,RR,1
24,Santa Catarina,SC,1
25,Sao Paulo,SP,1
26,Sergipe,SE,1
27,Tocantins,TO,1
